ledger_id,year,record_type,primary_theme,professional_relevance,accounting_status,public_detail_status
recovered-1082,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1083,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1084,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1085,2009,text,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-1086,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1087,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1088,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1089,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1090,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1091,2009,external-link,waterways-place-and-ecology,practice-related,recovered,aggregate-only
recovered-1092,2009,external-link,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1093,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1094,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1095,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1096,2009,text,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-1097,2009,text,waterways-place-and-ecology,practice-related,recovered,aggregate-only
recovered-1098,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1099,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1100,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1101,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1102,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1103,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1104,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1105,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1106,2009,text,waterways-place-and-ecology,practice-related,recovered,aggregate-only
recovered-1107,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1108,2009,external-link,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-1109,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1110,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1111,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1112,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1113,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1114,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1115,2009,shared-story,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1116,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1117,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1118,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1119,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1120,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1121,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1122,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1123,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1124,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1125,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1126,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1127,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1128,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1129,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1130,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1131,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1132,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1133,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1134,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1135,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1136,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1137,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1138,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1139,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1140,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1141,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1142,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1143,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1144,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1145,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1146,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1147,2009,shared-story,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1148,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1149,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1150,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1151,2009,shared-story,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1152,2009,shared-story,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1153,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1154,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1155,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1156,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1157,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1158,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1159,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1160,2009,photo,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1161,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1162,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1163,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1164,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1165,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1166,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1167,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1168,2009,media-or-text-unavailable,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-1169,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1170,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1171,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1172,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1173,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1174,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1175,2009,shared-story,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1176,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1177,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1178,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1179,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1180,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1181,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1182,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1183,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1184,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1185,2009,external-link,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1186,2009,external-link,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-1187,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1188,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1189,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1190,2009,external-link,technical-and-digital-practice,practice-related,recovered,aggregate-only
recovered-1191,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1192,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1193,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1194,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1195,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1196,2009,external-link,technical-and-digital-practice,practice-related,recovered,aggregate-only
recovered-1197,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1198,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1199,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1200,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1201,2009,media-or-text-unavailable,technical-and-digital-practice,practice-related,recovered,aggregate-only
recovered-1202,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1203,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1204,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1205,2009,external-link,technical-and-digital-practice,practice-related,recovered,aggregate-only
recovered-1206,2009,external-link,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1207,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1208,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1209,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1210,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1211,2009,external-link,technical-and-digital-practice,practice-related,recovered,aggregate-only
recovered-1212,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1213,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1214,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1215,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1216,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1217,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1218,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1219,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1220,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1221,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1222,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1223,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1224,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1225,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1226,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1227,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1228,2009,text,technical-and-digital-practice,practice-related,recovered,aggregate-only
recovered-1229,2009,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1230,2009,shared-story,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-1231,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1232,2009,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1233,2008,text,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-1234,2008,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1235,2008,shared-story,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1236,2008,text,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-1237,2007,photo-album,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1238,2007,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1239,2007,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1240,2007,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1241,2007,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-1242,2006,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-1243,2006,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
