population_slot,disposition,status_url,published_at,source_author_handle,relationship,recovered_from,posted_urls,mentions,hashtags,mission_signals,mission_signal_evidence,classification_input_digest,access_time_replies,access_time_reposts,access_time_likes,access_time_bookmarks,access_time_views,note
RECOVERED-3035,recovered-public-interface,https://x.com/VendorPower/status/2009363657730171046,2026-01-08T20:36:42.000Z,@VendorPower,native-repost-source-status,posts-slow-crosscheck | with-replies,,@VendorPower | @SpeakerMenin,,,,79eb9366b63630dd25a3e54600324cc75f31d91191d2ea1c0709b91a62a5edee,0,2,2,0,340,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3036,recovered-public-interface,https://x.com/VendorPower/status/2009365285510218082,2026-01-08T20:43:10.000Z,@VendorPower,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/twIo2JT4TQ -> Will New York at Last Get More Street-Vending Permits?,@VendorPower | @SpeakerMenin | @NYCCouncil | @helloDCWP | @saalevine,,,,bdc386d103fb097c2db35fdd8939c7fad517497bd4eb7abe987e4888d7fc941a,0,2,3,0,197,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3037,recovered-public-interface,https://x.com/JoeyQuits/status/2009372931114049637,2026-01-08T21:13:33.000Z,@JoeyQuits,native-repost-source-status,posts-slow-crosscheck | with-replies,,@JoeyQuits,,,,d7b02fe08b1a09d826eca25245a061177a2a5cb0febeb897333bfb9ccbe0fc81,1,2,5,0,310,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3038,recovered-public-interface,https://x.com/NYLSCoalition/status/2009643941914939762,2026-01-09T15:10:27.000Z,@NYLSCoalition,native-repost-source-status,posts-slow-crosscheck | with-replies,,@NYLSCoalition,,,,9e0cc0d168c23a713f81046a84d58876f9611c520aa793be7bd9f5f733992bfb,1,2,1,0,45,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3039,recovered-public-interface,https://x.com/RLEspinal/status/2010896893971509675,2026-01-13T02:09:14.000Z,@RLEspinal,native-repost-source-status,posts-slow-crosscheck | with-replies,,@RLEspinal | @MadeinNY | @NYCMayor,,,,f522ed5fca9f6dc7c6ba254ac687582818fe2077cab23282807ef9845295bd1e,11,23,134,9,10432,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3040,recovered-public-interface,https://x.com/NYCSanitation/status/2011134880814379169,2026-01-13T17:54:55.000Z,@NYCSanitation,native-repost-source-status,posts-slow-crosscheck | with-replies,,@NYCSanitation,#NewYorksStrongest,,,20653a7284bdc9ba11b55fb3eaf0040d39ce92d186424c0aea9c8ef2ae76b7a5,14,44,130,14,9533,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3041,recovered-public-interface,https://x.com/human_artistry/status/2011159431355257009,2026-01-13T19:32:28.000Z,@human_artistry,native-repost-source-status,posts-slow-crosscheck,,@human_artistry,,,,22a20ce345d253a4a747afb874d200e0ccd0f3f7f9cd37c87969875b3b8e33b0,0,3,11,0,621,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3042,recovered-public-interface,https://x.com/TakerootNYC/status/2011163573893153022,2026-01-13T19:48:56.000Z,@TakerootNYC,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/o4hSuIbwtt -> http://tr.ee/YMnWa6LvtY,@TakerootNYC | @fttenantunion | @bhipbk,,,,161c18e36be14d2104ae0b45b86d979ee934e2b0bc84b232d7213126e99691b1,0,3,2,0,103,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3043,recovered-public-interface,https://x.com/cdi_dance/status/2011445833443721280,2026-01-14T14:30:32.000Z,@cdi_dance,native-repost-source-status,posts-slow-crosscheck | with-replies,,@cdi_dance | @CUNY | @SnugHarborCCBG,,,,261c5439fed9443c89366f1822e5ca616e695c0a84b9f49a2af4fe9af2c213e6,0,4,5,0,63,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3044,recovered-public-interface,https://x.com/Local_802_AFM/status/2011521160861884556,2026-01-14T19:29:51.000Z,@Local_802_AFM,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/gyJhlMKd5N -> https://local802afm.org/allegro/articles/if-i-were-a-musician-5/%E2%80%A6,@Local_802_AFM | @RLEspinal | @madeinny | @ericdkoch | @rushafrica | @nycmayor | @NYCMayorsOffice | @ZohranKMamdani | @the_afm,#Local802 | #Allegro,,,29eccf39e8efbb2ed233e85dc91857bf617ae33edd773768c4b84c7fab2944c0,0,3,3,0,411,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3045,recovered-public-interface,https://x.com/actingliketommy/status/2011561772973703385,2026-01-14T22:11:14.000Z,@actingliketommy,native-repost-source-status,posts-slow-crosscheck | with-replies,,@actingliketommy,,,,7076f7697ba04ba87984c29a25265c4f8e5fd095784016d030976b426f276f42,153,4594,27606,409,261191,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3046,recovered-public-interface,https://x.com/CooperSq/status/2011785631672746338,2026-01-15T13:00:46.000Z,@CooperSq,native-repost-source-status,posts-slow-crosscheck | with-replies,,@CooperSq,,,,043a52a0f88ba19e245fccff33293fe321f8818b7e09e1ba40085dd866bf888d,0,3,2,0,179,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3047,recovered-public-interface,https://x.com/NYCArtC/status/2012194491348746484,2026-01-16T16:05:26.000Z,@NYCArtC,coalition-account-original,posts-slow-crosscheck | with-replies,,@NYCArtC | @MusicWorkers,,,,bce3d11b90681f79f6358285af19c180398e007ed9afc7ce7c999fb56d903e2c,0,0,2,0,30,Shared-account human authorship is not assigned.
RECOVERED-3048,recovered-public-interface,https://x.com/MusicWorkers/status/2012953588813758754,2026-01-18T18:21:49.000Z,@MusicWorkers,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/QubkVBPPMg -> http://tinyurl.com/WNUPetition,@MusicWorkers,,,,892dd82924f4e384097fa1ba5e3bdd7d2de78f6d284d95662a6451f45c3dcff1,0,3,6,0,167,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3049,recovered-public-interface,https://x.com/nyfacurrent/status/2013370968308088987,2026-01-19T22:00:20.000Z,@nyfacurrent,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/bcJ68mm71t -> https://bit.ly/2WMsZim,@nyfacurrent | @nyscarts,,,,05b14a6a06835650e4deb8af26188c4b7efad1cc35afa26c6d5840797b1288b6,0,4,3,0,204,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3050,recovered-public-interface,https://x.com/future_of_music/status/2013621566085488848,2026-01-20T14:36:07.000Z,@future_of_music,native-repost-source-status,posts-slow-crosscheck,https://t.co/KCagtujVDZ -> ‘An Unbelievable Mess’: Artists Are Stymied by Trump Travel Bans,@future_of_music | @sisario,,,,2387151a22e5596a0dd3bf0270ef2cae2401bb60ba8d80302caf35bcdae612b1,1,55,40,5,5051,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3051,recovered-public-interface,https://x.com/future_of_music/status/2013819444892402074,2026-01-21T03:42:25.000Z,@future_of_music,native-repost-source-status,posts-slow-crosscheck | with-replies,,@future_of_music,,,,354d0f43f6c678f60fc6a0716c851014ca41eb13462101ac5d49fdb6496bd42f,0,29,6,0,964,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-3052,recovered-public-interface,https://x.com/nycibo/status/2014020757446111640,2026-01-21T17:02:21.000Z,@nycibo,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/AsxJHk0VyT -> https://buff.ly/9PGctKM,@nycibo | @NYCulture,,,,5a40a2c9cff9d6b602eaca014d1c61411cc6965c5aa18a0fb979330f620cb60a,1,1,3,0,106,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
